Introduction	**(Bro	 Elastic)**
 conn.log	ts	 timestamp
 conn.log	uid	
 conn.log	id.orig_h	 source_ip
 conn.log	id.orig_p	 source_port
 conn.log	id.resp_h	 destination_ip
 conn.log	id.resp_p	 destination_port
 conn.log	proto	 protocol
 conn.log	service	
 conn.log	duration	
 conn.log	orig_bytes	 original_bytes
 conn.log	resp_bytes	 respond_bytes
 conn.log	conn_state	 connection_state
 conn.log	local_orig	
 conn.log	local_resp	 local_respond
 conn.log	missed_bytes	
 conn.log	history	
 conn.log	orig_pkts	 original_packets
 conn.log	orig_ip_bytes	 original_ipbytes
 conn.log	resp_pkts	 respond_packets
 conn.log	resp_ip_bytes	 respond_ipbytes
 conn.log	tunnel_parents	
 conn.log	original_country_code	
 conn.log	respond_country_code	
 conn.log	sensor_name	
 dhcp.log	ts	 timestamp
 dhcp.log	uid	
 dhcp.log	id.orig_h	 source_ip
 dhcp.log	id.orig_p	 source_port
 dhcp.log	id.resp_h	 destination_ip
 dhcp.log	id.resp_p	 destination_port
 dhcp.log	mac	
 dhcp.log	assigned_ip	
 dhcp.log	lease_time	
 dhcp.log	trans_id	 transaction_id
 dns.log	ts = > timestamp	
 dns.log	uid	
 dns.log	id.orig_h	 source_ip
 dns.log	id.orig_p	 source_port
 dns.log	id.resp_h	 destination_ip
 dns.log	id.resp_p	 destination_port
 dns.log	proto	 protocol
 dns.log	trans_id	 transaction_id
 dns.log	rtt	
 dns.log	query	
 dns.log	qclass	 query_class
 dns.log	qclass_name	 query_class_name
 dns.log	qtype	 query_type
 dns.log	qtype_name	 query_type_name
 dns.log	rcode	
 dns.log	rcode_name	
 dns.log	AA	 aa
 dns.log	TC	 tc
 dns.log	RD	 rd
 dns.log	RA	 ra
 dns.log	Z	 z
 dns.log	answers	
 dns.log	TTLS	 ttls (removed if not available)
 dns.log	rejected	
 dpd.log	ts	 timestamp
 dpd.log	uid	
 dpd.log	id.orig_h	 source_ip
 dpd.log	id.orig_p	 source_port
